week_start,week,country,iso3,new_confirmed_cases,new_deaths,perc_change_conf_cases,perc_change_deaths
2023-04-15,16,Mexico,MEX,9,9,NA,NA
2023-04-22,17,Mexico,MEX,0,0,NA,NA
2023-04-29,18,Mexico,MEX,45,12,NA,NA
2023-05-06,19,Mexico,MEX,0,0,NA,NA
2023-05-13,20,Mexico,MEX,7,0,NA,NA
2023-05-20,21,Mexico,MEX,0,0,NA,NA
2023-05-27,22,Mexico,MEX,3,3,NA,NA
2023-06-03,23,Mexico,MEX,0,0,NA,NA
2023-06-10,24,Mexico,MEX,6,0,NA,NA
2023-06-17,25,Mexico,MEX,0,0,NA,NA
2023-06-24,26,Mexico,MEX,5,1,NA,NA
2023-07-01,27,Mexico,MEX,0,0,NA,NA
2023-07-08,28,Mexico,MEX,0,0,NA,NA
2023-07-15,29,Mexico,MEX,8,0,NA,NA
2022-06-25,26,Peru,PER,3,0,NA,NA
2022-07-02,27,Peru,PER,15,0,400,NA
2022-07-09,28,Peru,PER,37,0,146.66666666666669,NA
2022-07-16,29,Peru,PER,88,0,137.83783783783784,NA
2022-07-23,30,Peru,PER,126,0,43.18181818181819,NA
2022-07-30,31,Peru,PER,71,0,-43.65079365079365,NA
2022-08-06,32,Peru,PER,313,0,340.8450704225352,NA
2022-08-13,33,Peru,PER,284,0,-9.26517571884984,NA
2022-08-20,34,Peru,PER,363,0,27.8169014084507,NA
2022-08-27,35,Peru,PER,246,0,-32.231404958677686,NA
2022-09-03,36,Peru,PER,262,0,6.5040650406503975,NA
2022-09-10,37,Peru,PER,246,0,-6.106870229007633,NA
2022-09-17,38,Peru,PER,257,0,4.471544715447151,NA
2022-09-24,39,Peru,PER,210,0,-18.287937743190664,NA
2022-10-01,40,Peru,PER,66,0,-68.57142857142857,NA
2022-10-08,41,Peru,PER,198,0,200,NA
2022-10-15,42,Peru,PER,157,0,-20.707070707070706,NA
2022-10-22,43,Peru,PER,106,0,-32.484076433121025,NA
2022-10-29,44,Peru,PER,156,0,47.169811320754704,NA
2022-11-05,45,Peru,PER,95,0,-39.10256410256411,NA
2022-11-12,46,Peru,PER,60,0,-36.8421052631579,NA
2022-11-19,47,Peru,PER,85,0,41.66666666666667,NA
2022-11-26,48,Peru,PER,64,0,-24.705882352941178,NA
2022-12-03,49,Peru,PER,58,0,-9.375,NA
2022-12-10,50,Peru,PER,21,0,-63.793103448275865,NA
2022-12-17,51,Peru,PER,42,5,100,NA
2022-12-24,52,Peru,PER,14,3,-66.66666666666667,-40
2022-12-31,1,Peru,PER,40,0,185.71428571428572,NA
2023-01-07,2,Peru,PER,15,4,-62.5,NA
2023-01-14,3,Peru,PER,18,0,19.999999999999996,NA
2023-01-21,4,Peru,PER,7,3,-61.111111111111114,NA
2023-01-28,5,Peru,PER,4,0,-42.85714285714286,NA
2023-02-04,6,Peru,PER,10,1,150,NA
2023-02-11,7,Peru,PER,15,-1,50,-100
2023-02-18,8,Peru,PER,0,0,NA,100
2023-02-25,9,Peru,PER,14,2,NA,NA
2023-03-04,10,Peru,PER,8,3,-42.85714285714286,50
2023-03-11,11,Peru,PER,2,0,-75,NA
2023-03-18,12,Peru,PER,9,0,350,NA
2023-03-25,13,Peru,PER,0,0,NA,NA
2023-04-01,14,Peru,PER,0,0,NA,NA
2023-04-08,15,Peru,PER,15,0,NA,NA
2023-04-15,16,Peru,PER,0,0,NA,NA
2023-04-22,17,Peru,PER,0,0,NA,NA
2023-04-29,18,Peru,PER,0,0,NA,NA
2023-05-06,19,Peru,PER,0,0,NA,NA
2023-05-13,20,Peru,PER,0,0,NA,NA
2023-05-20,21,Peru,PER,0,0,NA,NA
2023-05-27,22,Peru,PER,0,0,NA,NA
